T,Time,Avg,Acceleration
1,797,158.6,1
2,498,98.6,1.60852
3,441,87.2,1.81881
4,322,63.6,2.49371
5,296,58.6,2.70648
6,283,55.6,2.85252
7,267,52.4,3.02672
8,255,50.2,3.15936
9,247,48.6,3.26337
10,242,47.6,3.33193
11,242,47.4,3.34599
12,244,47.8,3.31799
13,239,46.8,3.38889
14,235,46,3.44783
15,238,46.6,3.40343
16,231,45.4,3.49339
17,235,46,3.44783
18,262,51.6,3.07364
19,254,49.8,3.18474
20,236,46.4,3.4181
